,neighborhood_name,district_name,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude
Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,El Plantío,Moncloa,2569.96,12.30174173689489,-0.863807336614359,0.5038222754218072,40.4722898,-3.8290127
Neighborhood 81: Fontarrón (2319.44 €/m2) - District 12: Moratalaz,Fontarrón,Moratalaz,2319.44,5.245451881836185,0.9280978254749968,-0.37233644241274916,40.399161,-3.6462064
Neighborhood 84: Vinateros (2538.1 €/m2) - District 12: Moratalaz,Vinateros,Moratalaz,2538.1,5.418430595598107,0.9716626130883044,-0.23637209295178666,40.4051965,-3.6415467
Neighborhood 82: Marroquina (2928.57 €/m2) - District 12: Moratalaz,Marroquina,Moratalaz,2928.57,5.389540179824197,0.9923520439503521,-0.12343994842658701,40.4107193,-3.6405684
Neighborhood 83: Media Legua (2803.11 €/m2) - District 12: Moratalaz,Media Legua,Moratalaz,2803.11,3.9432379105075963,0.991132895241679,-0.13287431644169181,40.4119951,-3.6575338
Neighborhood 80: Horcajo (None €/m2) - District 12: Moratalaz,Horcajo,Moratalaz,,6.58741936778158,0.9896197963556453,-0.1437103289990355,40.4081864,-3.6267762
Neighborhood 79: Pavones (None €/m2) - District 12: Moratalaz,Pavones,Moratalaz,,6.07470745377311,0.9551506545784464,-0.296120291534311,40.4005425,-3.6352111
Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,Puerta del Ángel,Latina,2443.62,2.6868392292467975,-0.9524516215434355,-0.3046898564430398,40.4093544,-3.7337422
Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,Aluche,Latina,2190.48,5.287372120542565,-0.8586446792817073,-0.5125712777177571,40.392356,-3.7571096
Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,Lucero,Latina,2363.25,4.344960694306748,-0.9279130727865393,-0.37279663269917357,40.4021568,-3.7511015
Neighborhood 71: Los Cármenes (2458.61 €/m2) - District 10: Latina,Los Cármenes,Latina,2458.61,4.189533018443121,-0.823265733282396,-0.5676561744603846,40.395337,-3.7442592
Neighborhood 66: Águilas (2110.34 €/m2) - District 10: Latina,Águilas,Latina,2110.34,6.98951564682056,-0.8346816120432988,-0.5507327904862757,40.3821128,-3.7723671
Neighborhood 68: Campamento (2275.63 €/m2) - District 10: Latina,Campamento,Latina,2275.63,6.011640348685282,-0.9130911679628364,-0.4077554646945436,40.3946832,-3.7682788
Neighborhood 65: Cuatro Vientos (None €/m2) - District 10: Latina,Cuatro Vientos,Latina,,8.382663199081177,-0.797453198956068,-0.6033808046952884,40.3712412,-3.7824038
Neighborhood 51: Las Tablas (4256.38 €/m2) - District 8: Fuencarral,Las Tablas,Fuencarral,4256.38,10.579959692900344,0.2725782501393033,0.9621336173063466,40.5083428,-3.6694346
Neighborhood 56: Mirasierra (3695.5 €/m2) - District 8: Fuencarral,Mirasierra,Fuencarral,3695.5,8.278385542125136,-0.12808894391752934,0.9917626845400527,40.4906361,-3.7161379
Neighborhood 52: Montecarmelo (4610.95 €/m2) - District 8: Fuencarral,Montecarmelo,Fuencarral,4610.95,9.862955184169122,0.0649818347734671,0.9978864470216408,40.5053359,-3.6959917
Neighborhood 50: La Paz (3500.0 €/m2) - District 8: Fuencarral,La Paz,Fuencarral,3500.0,7.187163329433392,0.08168490913673385,0.9966582040094405,40.4812105,-3.6966318
Neighborhood 53: Peñagrande (3271.96 €/m2) - District 8: Fuencarral,Peñagrande,Fuencarral,3271.96,6.663501971562843,-0.15807940058409609,0.9874264038959931,40.4759519,-3.7160518
Neighborhood 54: Pilar (3222.22 €/m2) - District 8: Fuencarral,Pilar,Fuencarral,3222.22,6.70061615516722,0.0005470930697137798,0.9999998503445754,40.4770471,-3.7035391
Neighborhood 49: Fuentelarreina (3371.55 €/m2) - District 8: Fuencarral,Fuentelarreina,Fuencarral,3371.55,7.518357869991141,-0.4386990747777331,0.8986340310655728,40.4774958,-3.7426018
Neighborhood 55: Tres Olivos - Valverde (2648.73 €/m2) - District 8: Fuencarral,Tres Olivos,Fuencarral,2648.73,9.341628557273971,0.07836947122422058,0.9969243832809167,40.5005695,-3.6949124
Neighborhood 48: Arroyo del Fresno (3718.4 €/m2) - District 8: Fuencarral,Arroyo del Fresno,Fuencarral,3718.4,8.403875067685837,-0.26850760239004623,0.9632775651175256,40.4895829,-3.7302946
Neighborhood 47: El Pardo (None €/m2) - District 8: Fuencarral,El Pardo,Fuencarral,,13.148823055610876,-0.4786456348264243,0.8780081755095503,40.5205538,-3.7780738
Neighborhood 62: Sanchinarro (4456.18 €/m2) - District 9: Hortaleza,Sanchinarro,Hortaleza,4456.18,9.388718818428808,0.42466082819276246,0.9053525175304021,40.4931887,-3.6564023
Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,Conde Orgaz,Hortaleza,4275.46,38.5940602685916,-0.36517524461518436,-0.9309387953674721,40.0931879,-3.8694095
